"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\ref_card_video.dart", "Dart", 24, 0, 0, 8, 32
"c:\PROJECTS\webCV\lib\pages\references_page\parts\cards\ref_image_card.dart", "Dart", 29, 0, 0, 9, 38
"c:\PROJECTS\webCV\lib\pages\references_page\parts\drawer\drawer_ref.dart", "Dart", 27, 0, 1, 9, 37
"c:\PROJECTS\webCV\lib\pages\references_page\parts\fob\fob_ref_widget.dart", "Dart", 97, 0, 0, 20, 117
"c:\PROJECTS\webCV\lib\pages\references_page\parts\ref_head.dart", "Dart", 12, 0, 0, 4, 16
"c:\PROJECTS\webCV\lib\pages\references_page\parts\slider_builder.dart", "Dart", 74, 0, 1, 18, 93
"c:\PROJECTS\webCV\lib\pages\references_page\references_page.dart", "Dart", 72, 0, 8, 26, 106
"c:\PROJECTS\webCV\lib\pages\splash_screen\parts\opener_video_player.dart", "Dart", 42, 0, 4, 10, 56
"c:\PROJECTS\webCV\lib\pages\splash_screen\splash_sreen.dart", "Dart", 23, 0, 43, 10, 76
"c:\PROJECTS\webCV\lib\pdf\pdfV2.dart", "Dart", 67, 0, 77, 36, 180
"c:\PROJECTS\webCV\lib\pdf\pdf_cards.dart", "Dart", 167, 0, 0, 39, 206
"Total", "-", 3022, 3, 271, 826, 4122
