"filename", "language", "Dart", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\bloc\state_manager_bloc.dart", "Dart", 3, 0, 0, 3
"c:\PROJECTS\webCV\lib\bloc\state_manager_event.dart", "Dart", 3, 0, 1, 4
"c:\PROJECTS\webCV\lib\bloc\state_manager_state.dart", "Dart", 3, 0, 1, 4
"c:\PROJECTS\webCV\lib\common\drawer\drawer_controller.dart", "Dart", 3, 0, 3, 6
"c:\PROJECTS\webCV\lib\dynamic_routes\dynamic_routes_handler.dart", "Dart", 3, 0, 2, 5
"c:\PROJECTS\webCV\lib\pages\references_page\parts\drawer_ref.dart", "Dart", 28, 0, 9, 37
"c:\PROJECTS\webCV\lib\pages\references_page\parts\fob_ref.dart", "Dart", 91, 8, 19, 118
"Total", "-", 134, 8, 35, 177
