"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"c:\PROJECTS\webCV\lib\bloc\state_manager_bloc.dart", "Dart", 124, 0, 1, 44, 169
"c:\PROJECTS\webCV\lib\bloc\state_manager_event.dart", "Dart", 70, 0, 0, 23, 93
"c:\PROJECTS\webCV\lib\bloc\state_manager_state.dart", "Dart", 97, 0, 0, 32, 129
"c:\PROJECTS\webCV\lib\common\FOB\FOB_animation_delegate.dart", "Dart", 32, 0, 1, 7, 40
"c:\PROJECTS\webCV\lib\common\FOB\FOB_builder.dart", "Dart", 27, 0, 0, 6, 33
"c:\PROJECTS\webCV\lib\common\FOB\FOB_data_model.dart", "Dart", 11, 0, 0, 3, 14
"c:\PROJECTS\webCV\lib\common\FOB\FOB_widget.dart", "Dart", 101, 0, 11, 18, 130
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\particles.dart", "Dart", 31, 0, 2, 3, 36
"c:\PROJECTS\webCV\lib\common\animated_backgrounds\rain.dart", "Dart", 23, 0, 3, 3, 29
"c:\PROJECTS\webCV\lib\common\background\background.dart", "Dart", 18, 0, 0, 3, 21
"c:\PROJECTS\webCV\lib\common\drawer\drawer_bar.dart", "Dart", 36, 0, 0, 11, 47
"c:\PROJECTS\webCV\lib\common\drawer\drawer_controller.dart", "Dart", 36, 0, 1, 11, 48
"c:\PROJECTS\webCV\lib\common\json_workers\jsonBasedataObjs.dart", "Dart", 38, 0, 2, 12, 52
"c:\PROJECTS\webCV\lib\common\json_workers\jsonBasedataObjs.g.dart", "Dart", 55, 0, 4, 9, 68
"c:\PROJECTS\webCV\lib\common\json_workers\jsonJobsObjs.dart", "Dart", 24, 0, 2, 8, 34
"c:\PROJECTS\webCV\lib\common\json_workers\jsonJobsObjs.g.dart", "Dart", 30, 0, 4, 7, 41
"c:\PROJECTS\webCV\lib\common\json_workers\jsonReaders.dart", "Dart", 25, 0, 0, 11, 36
"c:\PROJECTS\webCV\lib\common\popup_dialogs\pdf_alert_dialog.dart", "Dart", 28, 0, 0, 8, 36
"c:\PROJECTS\webCV\lib\common\popup_dialogs\qr_dialog.dart", "Dart", 51, 0, 1, 8, 60
"c:\PROJECTS\webCV\lib\common\popup_dialogs\size_warning_dialog.dart", "Dart", 28, 0, 0, 6, 34
"c:\PROJECTS\webCV\lib\dynamic_routes\dynamic_routes.dart", "Dart", 48, 0, 0, 11, 59
"c:\PROJECTS\webCV\lib\dynamic_routes\dynamic_routes_handler.dart", "Dart", 28, 0, 0, 10, 38
"c:\PROJECTS\webCV\lib\l10n\l10n.yaml", "YAML", 0, 3, 1, 2, 6
"c:\PROJECTS\webCV\lib\local_changer\language_changer.dart", "Dart", 45, 0, 0, 17, 62
"c:\PROJECTS\webCV\lib\local_changer\locale_provider.dart", "Dart", 15, 0, 4, 11, 30
"c:\PROJECTS\webCV\lib\local_changer\support_locale.dart", "Dart", 9, 0, 0, 3, 12
"c:\PROJECTS\webCV\lib\main.dart", "Dart", 68, 0, 25, 20, 113
"c:\PROJECTS\webCV\lib\pages\home_page\home_page.dart", "Dart", 33, 0, 3, 7, 43
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\grid_body_view.dart", "Dart", 38, 0, 7, 13, 58
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\list_body_view.dart", "Dart", 37, 0, 5, 12, 54
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_bodies\page_handler.dart", "Dart", 76, 0, 0, 19, 95
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\base_card.dart", "Dart", 32, 0, 9, 6, 47
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\data_card.dart", "Dart", 65, 0, 0, 12, 77
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\job_card.dart", "Dart", 77, 0, 0, 17, 94
"c:\PROJECTS\webCV\lib\pages\home_page\parts\home_page_elements\cards\parts\separated_text_table.dart", "Dart", 35, 0, 1, 7, 43
